trackName;composer;milliseconds;bytes;unitPrice;albumTitle;artistName;genreName;mediaTypeName
For Those About To Rock (We Salute You);Angus Young | Malcolm Young | Brian Johnson;343719;11170334;7.99;For Those About To Rock We Salute You;AC/DC;Rock;MPEG audio file
Put The Finger On You;Angus Young | Malcolm Young | Brian Johnson;205662;6713451;9.99;For Those About To Rock We Salute You;AC/DC;Rock;MPEG audio file
Let's Get It Up;Angus Young | Malcolm Young | Brian Johnson;233926;7636561;5.99;For Those About To Rock We Salute You;AC/DC;Rock;MPEG audio file
Inject The Venom;Angus Young | Malcolm Young | Brian Johnson;210834;6852860;9.99;For Those About To Rock We Salute You;AC/DC;Rock;MPEG audio file
Snowballed;Angus Young | Malcolm Young | Brian Johnson;203102;6599424;8.99;For Those About To Rock We Salute You;AC/DC;Rock;MPEG audio file
Evil Walks;Angus Young | Malcolm Young | Brian Johnson;263497;8611245;1.99;For Those About To Rock We Salute You;AC/DC;Rock;MPEG audio file
C.O.D.;Angus Young | Malcolm Young | Brian Johnson;199836;6566314;3.99;For Those About To Rock We Salute You;AC/DC;Rock;MPEG audio file
Breaking The Rules;Angus Young | Malcolm Young | Brian Johnson;263288;8596840;4.99;For Those About To Rock We Salute You;AC/DC;Rock;MPEG audio file
Night Of The Long Knives;Angus Young | Malcolm Young | Brian Johnson;205688;6706347;5.99;For Those About To Rock We Salute You;AC/DC;Rock;MPEG audio file
Spellbound;Angus Young | Malcolm Young | Brian Johnson;270863;8817038;2.99;For Those About To Rock We Salute You;AC/DC;Rock;MPEG audio file
Balls to the Wall;;342562;5510424;8.99;Balls to the Wall;Accept;Rock;Protected AAC audio file
Fast As a Shark;F. Baltes | S. Kaufman | U. Dirkscneider & W. Hoffman;230619;3990994;3.99;Restless and Wild;Accept;Rock;Protected AAC audio file
Restless and Wild;F. Baltes | R.A. Smith-Diesel | S. Kaufman | U. Dirkscneider & W. Hoffman;252051;4331779;4.99;Restless and Wild;Accept;Rock;Protected AAC audio file
Princess of the Dawn;Deaffy & R.A. Smith-Diesel;375418;6290521;5.99;Restless and Wild;Accept;Rock;Protected AAC audio file
Go Down;AC/DC;331180;10847611;2.99;Let There Be Rock;AC/DC;Rock;MPEG audio file
Dog Eat Dog;AC/DC;215196;7032162;3.99;Let There Be Rock;AC/DC;Rock;MPEG audio file
Let There Be Rock;AC/DC;366654;12021261;7.99;Let There Be Rock;AC/DC;Rock;MPEG audio file
Bad Boy Boogie;AC/DC;267728;8776140;8.99;Let There Be Rock;AC/DC;Rock;MPEG audio file
Problem Child;AC/DC;325041;10617116;7.99;Let There Be Rock;AC/DC;Rock;MPEG audio file
Overdose;AC/DC;369319;12066294;1.99;Let There Be Rock;AC/DC;Rock;MPEG audio file
Hell Ain't A Bad Place To Be;AC/DC;254380;8331286;8.99;Let There Be Rock;AC/DC;Rock;MPEG audio file
Whole Lotta Rosie;AC/DC;323761;10547154;5.99;Let There Be Rock;AC/DC;Rock;MPEG audio file
Walk On Water;Steven Tyler | Joe Perry | Jack Blades | Tommy Shaw;295680;9719579;9.99;Big Ones;Aerosmith;Rock;MPEG audio file
Love In An Elevator;Steven Tyler | Joe Perry;321828;10552051;8.99;Big Ones;Aerosmith;Rock;MPEG audio file
Rag Doll;Steven Tyler | Joe Perry | Jim Vallance | Holly Knight;264698;8675345;1.99;Big Ones;Aerosmith;Rock;MPEG audio file
What It Takes;Steven Tyler | Joe Perry | Desmond Child;310622;10144730;5.99;Big Ones;Aerosmith;Rock;MPEG audio file
Dude (Looks Like A Lady);Steven Tyler | Joe Perry | Desmond Child;264855;8679940;3.99;Big Ones;Aerosmith;Rock;MPEG audio file
Janie's Got A Gun;Steven Tyler | Tom Hamilton;330736;10869391;9.99;Big Ones;Aerosmith;Rock;MPEG audio file
Cryin';Steven Tyler | Joe Perry | Taylor Rhodes;309263;10056995;5.99;Big Ones;Aerosmith;Rock;MPEG audio file
Amazing;Steven Tyler | Richie Supa;356519;11616195;5.99;Big Ones;Aerosmith;Rock;MPEG audio file
Blind Man;Steven Tyler | Joe Perry | Taylor Rhodes;240718;7877453;0.99;Big Ones;Aerosmith;Rock;MPEG audio file
Deuces Are Wild;Steven Tyler | Jim Vallance;215875;7074167;6.99;Big Ones;Aerosmith;Rock;MPEG audio file
